Id,Id Empresa,Nome Empresa,URL Empresa,Nome da Vaga,Tipo,Publicado,Dead Line,Remoto?,Cidade,Estado,Regime,URL Vaga,Nova Adição
8792296,1110,Programa de Estágio Talentos Barcelos,Not,ESTAGIARIO DE ABASTECIMENTO e PRICING,internship,17/03/2025,11/05/2025,False,Campos dos Goytacazes,Rio de Janeiro,on-site,https://talentosbarcelos.gupy.io/job/eyJqb2JJZCI6ODc5MjI5Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8722739,472,GRUPO SOMA,Not,GRUPO SOMA | DIGITAL | Estagiário de BI ,internship,17/03/2025,27/04/2025,False,Rio de Janeiro,Rio de Janeiro,hybrid,https://gruposoma.gupy.io/job/eyJqb2JJZCI6ODcyMjczOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8822420,7066,V360,Not,V360 - Estágio em Processos e Projetos,internship,17/03/2025,31/03/2025,True,,,remote,https://somosv360.gupy.io/job/eyJqb2JJZCI6ODgyMjQyMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8805577,40033,Instituto de Pesquisas ELDORADO,Not,Estágio em Testes de Software,internship,17/03/2025,12/05/2025,True,,,remote,https://institutoeldorado.gupy.io/job/eyJqb2JJZCI6ODgwNTU3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8819685,1705,Daniel Advogados,Not,Estágio | Financeiro,internship,17/03/2025,16/05/2025,False,Rio de Janeiro,Rio de Janeiro,hybrid,https://daniel-ip.gupy.io/job/eyJqb2JJZCI6ODgxOTY4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8819514,49537,Sicoob UniMais Rio,Not,Estágio em Performance Corporativa - Sicoob Coopjustiça - Rio de Janeiro/RJ ,internship,17/03/2025,30/04/2025,False,Rio de Janeiro,Rio de Janeiro,on-site,https://sicoobunimaisrio.gupy.io/job/eyJqb2JJZCI6ODgxOTUxNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8817397,1130,Petz,Not,Estágio em Design Gráfico (Conteúdo) - Petz,internship,17/03/2025,16/05/2025,False,Rio de Janeiro,Rio de Janeiro,hybrid,https://petz.gupy.io/job/eyJqb2JJZCI6ODgxNzM5Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8818450,641,Cyrela,Not,Programa de Estágio PDA 2025 | Rio de Janeiro/RJ ,internship,17/03/2025,11/04/2025,False,Rio de Janeiro,Rio de Janeiro,on-site,https://cyrela.gupy.io/job/eyJqb2JJZCI6ODgxODQ1MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8723622,472,GRUPO SOMA,Not,GRUPO SOMA | DIGITAL | Estágio em Business Intelligence (BI) | Web Analytics,internship,17/03/2025,27/04/2025,False,Rio de Janeiro,Rio de Janeiro,hybrid,https://gruposoma.gupy.io/job/eyJqb2JJZCI6ODcyMzYyMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8816204,8254,Programa de Estágio Afirmativo Tenda,Not,Estágio Incorporação Imobiliária - Rio de Janeiro,internship,17/03/2025,16/05/2025,False,Rio de Janeiro,Rio de Janeiro,hybrid,https://estagiocorporativotenda.gupy.io/job/eyJqb2JJZCI6ODgxNjIwNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8706832,46700,LWSA,Not,Bling | Pessoa Desenvolvedora Sênior (PHP e Golang) | Sistemas Internos | Remoto,effective,17/03/2025,17/04/2025,True,,,remote,https://lwsa.gupy.io/job/eyJqb2JJZCI6ODcwNjgzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8817310,627,Vem ser Convenia! 💜,Not,Customer Success (Onboarding) | Foco em RH & DP ,effective,17/03/2025,11/04/2025,True,,,remote,https://convenia.gupy.io/job/eyJqb2JJZCI6ODgxNzMxMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8818375,68159,Máquina de Vendas,Not,Sucesso do Cliente / Customer Success Jr ou Pl - 100% REMOTO,effective,17/03/2025,31/05/2025,True,,,remote,https://integralmidia.gupy.io/job/eyJqb2JJZCI6ODgxODM3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8792670,1085,TELEMONT,Not,PROGRAMADOR SISTEMAS INFORMAÇÃO SR (HOME OFFICE),effective,14/03/2025,11/05/2025,True,,,remote,https://telemont.gupy.io/job/eyJqb2JJZCI6ODc5MjY3MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8721077,472,GRUPO SOMA,Not,GRUPO SOMA | Estagiário de Comércio Exterior,effective,14/03/2025,27/04/2025,False,Rio de Janeiro,Rio de Janeiro,hybrid,https://gruposoma.gupy.io/job/eyJqb2JJZCI6ODcyMTA3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8797251,295,Grupo Boticário,Not,Pessoa Desenvolvedora Back-end Node III - (Jornada B2P )				,effective,14/03/2025,11/05/2025,True,,,remote,https://grupoboticario.gupy.io/job/eyJqb2JJZCI6ODc5NzI1MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8809932,44323,Softplan,Not,Pessoa Desenvolvedora PHP (PL. ou SR.) - Vaga afirmativa para Mulheres - Cód.9932,effective,14/03/2025,31/03/2025,True,,,remote,https://softplan.gupy.io/job/eyJqb2JJZCI6ODgwOTkzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8807562,39505,Corsan Aegea,Not,Analista Administrativo Pleno - Contratos de Tecnologia,effective,14/03/2025,13/05/2025,True,,,remote,https://vagascorsanaegea.gupy.io/job/eyJqb2JJZCI6ODgwNzU2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
